Names,new_code,LA_code,Boroughs,childhood_obesity,reception_number_measured,reception_number_obese,reception_obese_rate,year6_number_measured,year6_number_obese,year6_obese_rate
Aldersgate,E05009288,E09000001,City of London,,,,,,,
Castle Baynard,E05009297,E09000001,City of London,,,,,,,
Cripplegate,E05009302,E09000001,City of London,,,,,,,
Portsoken,E05009308,E09000001,City of London,,,,,,,
Abbey,E05000026,E09000002,Barking and Dagenham,0.18,712,95,0.13,441,109,0.25
Alibon,E05000027,E09000002,Barking and Dagenham,0.17,592,59,0.1,427,111,0.26
Becontree,E05000028,E09000002,Barking and Dagenham,0.2,665,82,0.12,499,146,0.29
Chadwell Heath,E05000029,E09000002,Barking and Dagenham,0.18,484,62,0.13,362,89,0.25
Eastbrook,E05000030,E09000002,Barking and Dagenham,0.16,446,56,0.13,320,69,0.22
Eastbury,E05000031,E09000002,Barking and Dagenham,0.18,625,72,0.12,479,127,0.27
Gascoigne,E05000032,E09000002,Barking and Dagenham,0.21,783,127,0.16,514,149,0.29
Goresbrook,E05000033,E09000002,Barking and Dagenham,0.2,667,108,0.16,457,115,0.25
Heath,E05000034,E09000002,Barking and Dagenham,0.2,592,89,0.15,442,115,0.26
Longbridge,E05000035,E09000002,Barking and Dagenham,0.18,482,55,0.11,438,109,0.25
Mayesbrook,E05000036,E09000002,Barking and Dagenham,0.18,573,72,0.13,432,105,0.24
Parsloes,E05000037,E09000002,Barking and Dagenham,0.19,559,83,0.15,343,91,0.27
River,E05000038,E09000002,Barking and Dagenham,0.22,633,109,0.17,401,121,0.3
Thames,E05000039,E09000002,Barking and Dagenham,0.21,634,99,0.16,497,134,0.27
Valence,E05000040,E09000002,Barking and Dagenham,0.18,564,69,0.12,415,102,0.25
Village,E05000041,E09000002,Barking and Dagenham,0.19,589,76,0.13,398,111,0.28
Whalebone,E05000042,E09000002,Barking and Dagenham,0.17,478,61,0.13,368,84,0.23
Brunswick Park,E05000043,E09000003,Barnet,0.14,520,56,0.11,564,93,0.17
Burnt Oak,E05000044,E09000003,Barnet,0.18,741,88,0.12,636,161,0.25
Childs Hill,E05000045,E09000003,Barnet,0.14,491,60,0.12,366,62,0.17
Colindale,E05000046,E09000003,Barnet,0.18,696,88,0.13,511,133,0.26
Coppetts,E05000047,E09000003,Barnet,0.14,539,54,0.1,441,86,0.2
East Barnet,E05000048,E09000003,Barnet,0.16,586,66,0.11,442,98,0.22
East Finchley,E05000049,E09000003,Barnet,0.12,493,39,0.08,387,67,0.17
Edgware,E05000050,E09000003,Barnet,0.14,475,52,0.11,509,87,0.17
Finchley Church End,E05000051,E09000003,Barnet,0.09,363,24,0.07,354,41,0.12
Garden Suburb,E05000052,E09000003,Barnet,0.09,363,23,0.06,256,32,0.13
Golders Green,E05000053,E09000003,Barnet,0.12,643,56,0.09,578,95,0.16
Hale,E05000054,E09000003,Barnet,0.16,578,65,0.11,530,109,0.21
Hendon,E05000055,E09000003,Barnet,0.12,597,44,0.07,434,83,0.19
High Barnet,E05000056,E09000003,Barnet,0.1,445,20,0.05,342,55,0.16
Mill Hill,E05000057,E09000003,Barnet,0.15,547,62,0.11,472,86,0.18
Oakleigh,E05000058,E09000003,Barnet,0.12,475,37,0.08,390,66,0.17
Totteridge,E05000059,E09000003,Barnet,0.13,457,41,0.09,340,61,0.18
Underhill,E05000060,E09000003,Barnet,0.13,495,39,0.08,452,88,0.2
West Finchley,E05000061,E09000003,Barnet,0.11,551,47,0.09,331,48,0.15
West Hendon,E05000062,E09000003,Barnet,0.13,510,50,0.1,394,65,0.17
Woodhouse,E05000063,E09000003,Barnet,0.15,505,46,0.09,456,95,0.21
Barnehurst,E05011217,E09000004,Bexley,0.17,375,34,0.09,330,82,0.25
Belvedere,E05011218,E09000004,Bexley,0.19,551,65,0.12,430,122,0.28
Blackfen and Lamorbey,E05011220,E09000004,Bexley,0.14,353,30,0.09,345,69,0.2
Blendon and Penhill,E05011221,E09000004,Bexley,0.12,361,35,0.1,228,36,0.16
Brampton,E05000068,E09000004,Bexley,0.14,360,22,0.06,308,73,0.24
